name,highway,segments,length_km,predicted_risk,risk_low,risk_high,priority_score,severity,prevented_incidents_min,prevented_incidents_max,recommended_action,reported_crime
['Lodge Road'],residential,2,0.0819895447209378,40.349999999999994,3.2752217657333755,4.92629105697556,0,moderate,0,0,add_lighting,4.0
['Lodge Road' 'Leroy Street'],residential,2,0.25144086524144826,58.400000000000006,5.631223497322106,6.146996622309121,0,moderate,0,0,add_lighting_and_booth,4.0
['Locust Street' 'South 2nd Street'],residential,1,0.2339560424111275,40.5,3.474353202821095,4.6905435318465845,0,moderate,0,0,add_lighting_and_booth,21.0
['Locust Street' 'South 25th Street'],residential,1,0.2325596597720541,29.5,2.3131201505944183,3.889056000815259,0,low,0,0,add_lighting,40.0
['Locust Avenue'],residential,13,1.2674880028144624,43.315384615384616,4.004639358315174,5.153679867534286,0,high,0,0,add_lighting,458.0
['Lockart Terrace'],residential,4,0.2841209109714018,3.925,0.6272739163782027,0.8506701374200419,0,low,0,0,add_lighting,8.0
['Lockart Road'],residential,35,2.643443381838406,9.265714285714287,0.999162002209216,1.6949344527389834,0,low,0,0,add_lighting,116.0
['Lockart Road' 'Selma Street' 'Larkspur Street'],residential,1,0.2326292354498454,5.6,0.9824397504897148,1.1271420911157426,0,low,0,0,add_lighting,4.0
['Lukens Street'],residential,2,0.6437819993837466,1.75,0.45746001066025826,0.7885786620628221,0,low,0,0,add_lighting,2.0
['Ludwick Street'],residential,2,0.2084750854484726,18.95,1.8929746024494736,2.4265351030536784,0,low,0,0,add_lighting,60.0
['Lowber Street'],residential,2,0.1227612809392524,94.1,13.38556603868716,16.23156139544266,0,severe,0,0,full_intervention,36.0
['Lowber Avenue'],residential,46,3.907448158813707,12.6,1.3521282888315385,1.9415657146859058,0,moderate,0,0,add_lighting,592.0
['Louise Street'],residential,1,0.1212138328925,24.0,2.238300677528469,2.901585671143541,0,low,0,0,add_lighting,12.0
['Louise Road'],residential,1,0.1307907127461797,14.3,1.527985358433467,2.033332348517221,0,low,0,0,add_lighting,16.0
['Lotus Road'],residential,2,0.2901891632538196,45.9,3.693793959158072,5.54281856886003,0,moderate,0,0,add_lighting_and_booth,64.0
['Lott Street'],residential,20,1.7665030091220086,26.439999999999998,2.4051829117007584,3.2584353994452755,0,moderate,0,0,add_lighting,94.0
['Lott Street' 'Northeast Avenue'],residential,2,0.5603781542741398,4.75,0.6563852897930466,1.3715346688258276,0,low,0,0,add_lighting,12.0
['Lott Street' 'Dedaker Street'],residential,2,0.6552347689839254,3.95,0.5702360078935653,1.337503221466947,0,low,0,0,add_lighting,18.0
['Lothian Place'],residential,2,0.246389185392508,5.05,0.8359045203778773,1.2013664568081568,0,low,0,0,add_lighting,2.0
['Lorry Place'],residential,1,0.2188224939261913,30.1,2.9594875418134072,3.216255055041829,0,low,0,0,add_lighting,66.0
['Lorraine Street'],residential,4,0.3859878627059462,3.875,0.6918260881885464,1.1041477544427263,0,low,0,0,add_lighting,6.0
['Lorna Drive'],residential,6,0.9820773511820798,24.766666666666666,2.3578726838746555,3.1107104568497888,0,moderate,0,0,add_lighting,160.0
['Loring Street'],residential,7,1.03000567633434,17.04285714285714,1.5670206141793381,2.465132317420863,0,low,0,0,add_lighting,163.0
['Loretto Avenue'],residential,149,12.056543404947881,33.36442953020134,3.0314489550846564,4.122469138566609,0,high,0,0,add_lighting,2956.0
['Magdalena Street' 'Roxborough Avenue'],residential,2,0.682772781197217,31.299999999999997,2.343210821490289,4.277148390335855,0,low,0,0,add_lighting,22.0
['Madison Square'],residential,1,0.1139287572814795,46.6,4.295186955723919,4.952548101221926,0,moderate,0,0,add_lighting_and_booth,1.0
['Madison Place'],residential,3,0.3549581470608686,14.233333333333334,1.1345080446432343,2.3603953282997545,0,low,0,0,add_lighting,81.0
['Madison Avenue'],residential,2,0.3486415518817496,22.7,1.497906509786163,3.7409948152742043,0,low,0,0,add_lighting,34.0
['Macon Street'],residential,1,0.2245668543675988,9.7,1.1004300820923891,1.63873867288319,0,low,0,0,add_lighting,10.0
['Macalester Street'],residential,2,0.9863215817268014,8.5,0.7975335738995247,1.887151171756115,0,low,0,0,add_lighting,44.0
['M Street'],residential,18,2.402809022147904,47.833333333333336,4.122741311864706,5.745944216936877,0,high,0,0,add_lighting_and_booth,448.0
['Lyons Place'],residential,4,0.7939757415354409,12.775,1.2609561694480236,2.0096508964844677,0,low,0,0,add_lighting,30.0
['Lyons Avenue'],residential,6,0.9187573269190255,16.5,1.1291952108575873,3.0735168492439766,0,low,0,0,add_lighting,172.0
['Lynnewood Road'],residential,7,0.704932574910923,9.7,1.0933898071234818,1.658296166186369,0,low,0,0,add_lighting,23.0
['Lynnebrook Lane'],residential,2,1.162217829738284,16.4,1.5170450674763365,2.4378828369879124,0,low,0,0,add_lighting,20.0
['Lynford Street'],residential,9,1.3765057268131324,37.7,3.3865383866914716,4.313236936273738,0,moderate,0,0,add_lighting,213.0
['Lyman Drive'],residential,4,0.7822042603409708,38.1,3.4421852396959878,4.3394595971895935,0,moderate,0,0,add_lighting,26.0
['Lykens Lane'],residential,8,1.1167241740988134,9.875,1.139880596229591,1.670967164127878,0,low,0,0,add_lighting,28.0
['Lyceum Avenue'],residential,14,1.6327368093253511,42.978571428571435,3.7052981689684663,5.401818208829893,0,high,0,0,add_lighting,144.0
['Luther Place'],residential,1,0.2212788469569269,9.2,0.8634610866917785,1.885757729631092,0,low,0,0,add_lighting,0.0
['Mandela Way' 'Rudy Robinson Way'],residential,2,0.441646903048788,17.15,1.7120555058690767,2.320421141748966,0,low,0,0,add_lighting,20.0
['Manchester Avenue'],residential,2,0.1586758783297832,67.69999999999999,5.515012830506978,9.335296863343384,0,moderate,0,0,add_lighting_and_booth,34.0
['Manchester Avenue' 'Taunton Street'],residential,1,0.3705614993139051,13.0,1.3586796480458188,1.957857757703362,0,low,0,0,add_lighting,16.0
['Manatawna Avenue'],residential,12,3.8097850591037634,12.566666666666668,1.322857668943268,1.9508094546939165,0,low,0,0,add_lighting,120.0
['Malvern Avenue'],residential,46,4.251270869816479,34.880434782608695,3.1345761959021554,4.208678049694304,0,high,0,0,add_lighting,806.0
['Malta Street'],residential,9,1.3483890913449317,29.755555555555556,2.5056800988678543,3.7947093236403973,0,moderate,0,0,add_lighting,181.0
['Mallory Street'],residential,4,0.5171333708733714,64.125,6.688303488037413,7.565893618470612,0,high,0,0,add_lighting_and_booth,24.0
['Mallard Place'],residential,2,0.3250365573291902,26.2,2.3009020077310254,3.2578305363031355,0,low,0,0,add_lighting,22.0
['Malcolm Street'],residential,7,0.8913861835794561,52.471428571428575,4.925766001422955,5.799370539457372,0,moderate,0,0,add_lighting_and_booth,170.0
['Maiden Street'],residential,2,0.173573654842838,22.15,2.0350402309476365,2.826581551817758,0,low,0,0,add_lighting,2.0
['Maiden Lane'],residential,1,0.0688740185274776,79.8,8.238511251411344,10.529323680405575,0,high,0,0,add_patrols,1.0
['Maiden Lane' 'South 34th Street'],residential,2,0.971208970280879,10.5,1.0957241546561867,1.8078126859745467,0,low,0,0,add_lighting,22.0
['Magnolia Street'],residential,45,4.438699416472717,60.42666666666666,6.072126124539425,7.204424768521188,0,severe,0,0,add_lighting_and_booth,867.0
['Magnolia Place'],residential,2,0.1925892685447114,9.6,1.1949068463751538,1.5242428116083262,0,low,0,0,add_lighting,8.0
['Magee Avenue'],residential,109,11.706309769553949,43.6605504587156,3.969831409840669,5.086511997699468,0,high,0,0,add_lighting_and_booth,2398.0
['Magdalena Street'],residential,6,0.49450518156276,23.099999999999998,2.1238522945473757,3.0045093849454587,0,moderate,0,0,add_lighting,62.0
['Margaret Court'],residential,2,0.046559948134399,53.95,3.0911133263037773,8.879514847358774,0,moderate,0,0,add_lighting_and_booth,34.0
['Marcy Place'],residential,2,0.2454575764959335,32.15,3.129730131952354,3.4411544049874556,0,low,0,0,add_lighting,12.0
['Marchman Road'],residential,6,0.6652833271787428,17.55,1.6575389066842734,2.559908152603586,0,moderate,0,0,add_lighting,24.0
['Marcella Street'],residential,2,0.26182299227231437,46.7,4.448277272889175,5.053126873752041,0,moderate,0,0,add_lighting,58.0
['Maple Lane'],residential,2,0.5109782092591314,25.1,2.415708019462672,2.8854578269011517,0,low,0,0,add_lighting,28.0
